Deltam	7.50E-05	1.90E-06	7.50E-05	3.08E-06	7.50E-05	2.66E-06	7.50E-05	1.68E-06
Theta	0.307	0.012	0.307	0.096	0.307	0.012	3.07E-01	1.20E-02
Reac osc PPO	46.9069	2.033747671	46.9106	1.96543	46.9106	1.96543	46.9106	1.96543
Reac osc bisMSB	86.871	3.772424868	86.8817	3.64011	86.8817	3.64011	86.8817	3.64011
Reac osc total	133.7779	5.806162271	133.792	5.60554	133.792	5.60554	133.792	5.60554
Geo U PPO	9.36653		8.97687	3.52131	8.97687	3.52131	8.97687	3.52131
Geo U bisMSB	16.9041		16.2103	6.35873	16.2103	6.35873	16.2103	6.35873
Geo U total	26.27063		25.1872	9.88005	25.1872	9.88005	25.1872	9.88005
Geo Th PPO	2.43819		2.33819	1.00396	2.33819	1.00396	2.33819	1.00396
Geo Th bisMSB	4.42196		4.24139	1.82115	4.24139	1.82115	4.24139	1.82115
Geo Th total	6.86015		6.57958	2.82511	6.57958	2.82511	6.57958	2.82511
Geo Ratio PPO	3.7	1.3	3.83924	1.33596	3.83924	1.33596	3.83924	1.33596
Geo Ratio bisMSB	3.7	1.3	3.82193	1.32994	3.82193	1.32994	3.82193	1.32994
Geo Ratio total	3.7	1.3	3.82808	0.980334	3.82808	0.980334	3.82808	0.980334
AN CS PPO	0.92	0.28	0.96	0.283748	0.96	0.283748	0.96	0.283748
AN CS bisMSB	1.56	0.47	1.66	0.490648	1.66	0.490648	1.66	0.490648
AN CS total	2.48	0.75	2.62	0.774396	2.62	0.774396	2.62	0.774396
AN OE PPO	3.43	3.43	3.6	1.41932	3.6	1.41932	3.6	1.41932
AN OE bisMSB	5.86	5.86	6.21	2.44832	6.21	2.44832	6.21	2.44832
AN OE total	9.29	9.29	9.81	3.86764	9.81	3.86764	9.81	3.86764
AN PR PPO	5.76052	1.72797119	5.76463	1.7092	5.76463	1.7092	5.76463	1.7092
AN PR bisMSB	4.80114	1.439984905	4.79615	1.42204	4.79615	1.42204	4.79615	1.42204
AN PR total	10.56166	3.167956095	10.5608	3.13124	10.5608	3.13124	10.5608	3.13124
BiPo like PPO	2.64539	2.201408462	2.64546	2.10446	2.64546	2.10446	2.64546	2.10446
BiPo like bisMSB	4.27071	3.230884957	4.27123	3.39776	4.27123	3.39776	4.27123	3.39776
BiPo like total	6.9161	5.432293418	6.91669	5.50223	6.91669	5.50223	6.91669	5.50223
Atmos PPO	1.0912	0.738977215	1.0912	0.665616	1.0912	0.665616	1.0912	0.665616
Atmos bisMSB	1.83129	1.241982145	1.83129	1.11706	1.83129	1.11706	1.83129	1.11706
Atmos total	2.92249	1.980959361	2.92249	1.78268	2.92249	1.78268	2.92249	1.78268
E Scale PPO	1	0.011	1	0.0101603	1	0.0101603	1	0.0101603
E Scale bisMSB	1	0.01	1	0.00898254	1	0.00898254	1	0.00898254
Birk's PPO	0.074	0.004	0.074	0.00341675	0.074	0.00341675	0.074	0.00341675
Birk's bisMSB	0.074	0.004	0.074	0.00305858	0.074	0.00305858	0.074	0.00305858
E Conv PPO	0.044	0.044	7.63E-07	0.0358311	7.63E-07	0.0358311	7.63E-07	0.0358311
E Conv bisMSB	0.049	0.049	7.62E-07	0.039882	7.62E-07	0.039882	7.62E-07	0.039882
E Scale PR PPO	1	0.03	1	0.0299208	1	0.0299208	1.00E+00	0.0299208
E Scale PR bisMSB	1	0.03	1	0.0299408	1	0.0299408	1	0.0299408
Classifier A PPO	0		0	2.74238	0	2.74238	0	2.74238
Classifier A bisMSB	0		0	5.60455	0	5.60455	0	5.60455
Classifier S PPO	1	0.029	1	0.0289459	1	0.0289459	1	0.0289459
Classifier S bisMSB	1	0.029	1	0.0289013	1	0.0289013	1	0.0289013
