Deltam	7.50E-05	1.90E-06	7.50E-05	3.36E-06	7.50E-05	3.36E-06
Theta	0.307	0.012	0.305	0.088	3.05E-01	8.60E-02
Reac osc PPO	49.15238424	2.13110538	49.2933	2.02478	49.3044	2.08727
Reac osc bisMSB	90.58297842	3.93361974	90.8229	3.73065	90.8345	3.76414
Reac osc total	139.7353627	6.06472512	140.116	5.75543	140.139	5.85271
Geo U PPO	10.44		10.0296	5.31404	9.96481	7.27705
Geo U bisMSB	18.9		18.1395	9.61096	18.0493	10.8562
Geo U total	29.34		28.1691	14.925	28.0141	34.4293
Geo Th PPO	2.75		2.66291	1.50476	2.68678	2.0418
Geo Th bisMSB	5.01		4.83064	2.7297	4.86811	3.09474
Geo Th total	7.76		7.49355	4.23446	7.55489	9.77182
Geo Ratio PPO	3.7	1.3	3.76641	1.30687	3.70883	1.29562
Geo Ratio bisMSB	3.7	1.3	3.75509	1.30294	3.70766	1.29214
Geo Ratio total	3.7	1.3	3.75911	0.96	3.70808	0.833858
AN CS PPO	0.92	0.28	0.959529	0.283621	0.959794	0.288362
AN CS bisMSB	1.56	0.47	1.65918	0.490427	1.65946	0.49501
AN CS total	2.48	0.75	2.61871	0.774048	2.61925	0.783565
AN OE PPO	3.43	3.43	3.59704	1.41318	3.59699	2.08227
AN OE bisMSB	5.86	5.86	6.2049	2.43773	6.20502	2.92545
AN OE total	9.29	9.29	9.80194	3.85091	9.80201	5.00923
AN PR PPO	31.17	9.35	31.2276	7.25951	31.2543	8.31873
AN PR bisMSB	53.78	16.13	54.1032	12.5774	54.1377	13.5534
AN PR total	84.95	25.48	85.3308	19.8369	85.392	22.9276
BiPo like PPO	2.86	2.38	2.85423	2.17941	2.85908	2.28781
BiPo like bisMSB	4.6	3.48	4.59073	3.50535	4.59702	3.62075
BiPo like total	7.46	5.86	7.44496	5.68476	7.4561	5.90057
Atmos PPO	1.58	1.07	1.58688	0.967249	1.58846	1.03282
Atmos bisMSB	2.89	1.96	2.78754	1.69909	2.78909	1.75757
Atmos total	4.47	3.03	4.37442	2.66634	4.37755	3.31784
E Scale PPO	1	0.011	1	0.00998979	1	0.00999517
E Scale bisMSB	1	0.01	1	0.00867123	1	0.00861933
Birk's PPO	0.074	0.004	0.074	0.00299258	0.074	0.00286699
Birk's bisMSB	0.074	0.004	0.074	0.00259695	0.074	0.0024072
E Conv PPO	0	0.044	3.70E-08	0.0358454	5.88E-09	0.0358334
E Conv bisMSB	0	0.049	3.90E-08	0.039905	6.58E-09	0.0398902
E Scale PR PPO	1	0.03	1	0.0291216	1.00E+00	0.0291816
E Scale PR bisMSB	1	0.03	1	0.0286991	1	0.028734
