Deltam	0.000075	1.90E-06	7.50E-05	3.35999E-06	0.000075	0.0000028	0.000075	1.68337E-06
Theta	0.307	0.012	0.307	0.106	3.07E-01	1.20E-02	0.307	1.20E-02
Reac osc PPO	46.9069	2.033747671	46.9069	1.96801	46.9069	1.96801	46.9069	1.96801
Reac osc bisMSB	86.871	3.772424868	86.871	3.64473	86.871	3.64473	86.871	3.64E+00
Reac osc total	133.7779	5.806162271	133.778	5.61275	133.778	5.61275	133.778	5.61E+00
Geo U PPO	9.36653		9.36653	3.68202	9.36653	3.68202	9.36653	3.68E+00
Geo U bisMSB	16.9041		16.9041	6.64507	16.9041	6.64507	16.9041	6.64507
Geo U total	26.27063		26.2706	10.3271	26.2706	10.3271	2.63E+01	1.03E+01
Geo Th PPO	2.43819		2.43819	1.0495	2.43819	1.0495	2.43819	1.0495
Geo Th bisMSB	4.42196		4.42196	1.90341	4.42196	1.90E+00	4.42E+00	1.90341
Geo Th total	6.86015		6.86015	2.95291	6.86015	2.95291	6.86015	2.95291
Geo Ratio PPO	3.7	1.3	3.84159	1.84443	3.84159	1.84443	3.84159	1.84443
Geo Ratio bisMSB	3.7	1.3	3.82276	1.83538	3.82276	1.83538	3.82276	1.83538
Geo Ratio total	3.7	1.3	3.82945	1.353	3.82945	1.353	3.82945	1.353
AN CS PPO	0.92	0.28	0.96	0.284174	0.96	0.284174	0.96	0.284174
AN CS bisMSB	1.56	0.47	1.66	0.491385	1.66	0.491385	1.66	0.491385
AN CS total	2.48	0.75	2.62	0.775559	2.62	0.775559	2.62	0.775559
AN OE PPO	3.43	3.43	3.6	1.51492	3.6	1.51492	3.6	1.51492
AN OE bisMSB	5.86	5.86	6.21	2.61323	6.21	2.61323	6.21	2.61323
AN OE total	9.29	9.29	9.81	4.12815	9.81	4.12815	9.81	4.12815
AN PR PPO	5.76052	1.72797119	5.76052	1.66692	5.76052	1.66692	5.76052	1.66692
AN PR bisMSB	4.80114	1.439984905	4.80114	1.3893	4.80114	1.3893	4.80114	1.3893
AN PR total	10.56166	3.167956095	10.5617	3.05622	10.5617	3.05622	10.5617	3.05622
BiPo like PPO	2.64539	2.201408462	2.64539	2.11245	2.64539	2.11245	2.64539	2.11245
BiPo like bisMSB	4.27071	3.230884957	4.27071	3.41033	4.27071	3.41033	4.27071	3.41033
BiPo like total	6.9161	5.432293418	6.9161	5.52278	6.9161	5.52278	6.9161	5.52278
Atmos PPO	1.0912	0.738977215	1.0912	0.608047	1.0912	0.608047	1.0912	0.608047
Atmos bisMSB	1.83129	1.241982145	1.83129	1.02045	1.83129	1.02045	1.83129	1.02045
Atmos total	2.92249	1.980959361	2.92249	1.62849	2.92249	1.62849	2.92249	1.62849
E Scale PPO	1	0.011	1	0.010359	1	0.010359	1	0.010359
E Scale bisMSB	1	0.01	1	0.0092526	1	0.0092526	1	0.0092526
Birk's PPO	0.074	0.004	0.074	0.0035486	0.074	0.0035486	0.074	0.0035486
Birk's bisMSB	0.074	0.004	0.074	0.0032909	0.074	0.0032909	0.074	0.0032909
E Conv PPO	0.044	0.044	0.044	0.119704	0.044	0.119704	0.044	0.119704
E Conv bisMSB	0.049	0.049	0.049	0.0724668	0.049	0.0724668	0.049	0.0724668
E Scale PR PPO	1	0.03	1	0.0297809	1	0.0297809	1	0.0297809
E Scale PR bisMSB	1	0.03	1	0.0297928	1	0.0297928	1	0.0297928
Classifier A PPO	0		0	27.4667	0	27.4667	0	27.4667
Classifier A bisMSB	0		0	56.5202	0	56.5202	0	56.5202
Classifier S PPO	1	0.029	1	0.0289532	1	0.0289532	1	0.0289532
Classifier S bisMSB	1	0.029	1	0.0289098	1	0.0289098	1	0.0289098
