Deltam	7.50E-05	1.90E-06	7.50E-05	3.50E-06	7.50E-05	3.50E-06
Theta	0.307	0.012	0.305	0.094	0.305	0.092
Reac osc PPO	49.15238424	2.13110538	49.2931	2.02323	49.3044	2.08714
Reac osc bisMSB	90.58297842	3.93361974	90.8227	3.72781	90.8344	3.76327
Reac osc total	139.7353627	6.06472512	140.116	5.75104	140.139	5.85171
Geo U PPO	10.44		10.0272	5.01367	9.96502	7.1567
Geo U bisMSB	18.9		18.1352	9.06773	18.0492	10.4115
Geo U total	29.34		28.1624	14.0814	28.0142	33.3563
Geo Th PPO	2.75		2.66231	1.43685	2.68683	2.01242
Geo Th bisMSB	5.01		4.82955	2.6065	4.86808	2.98757
Geo Th total	7.76		7.49186	4.04335	7.55491	9.51266
Geo Ratio PPO	3.7	1.3	3.76635	2.16619	3.70884	2.87143
Geo Ratio bisMSB	3.7	1.3	3.75505	2.15968	3.70766	2.38964
Geo Ratio total	3.7	1.3	3.75907	1.59119	3.70808	1.81618
AN CS PPO	0.92	0.28	0.959527	0.283618	0.959794	0.288362
AN CS bisMSB	1.56	0.47	1.65918	0.490422	1.65946	0.495008
AN CS total	2.48	0.75	2.61871	0.77404	2.61925	0.783563
AN OE PPO	3.43	3.43	3.597	1.41631	3.59697	2.08351
AN OE bisMSB	5.86	5.86	6.20482	2.44313	6.20498	2.93307
AN OE total	9.29	9.29	9.80182	3.85944	9.80195	5.01813
AN PR PPO	31.17	9.35	31.2316	6.52937	31.2539	7.91892
AN PR bisMSB	53.78	16.13	54.1102	11.3124	54.1378	12.4574
AN PR total	84.95	25.48	85.3418	17.8418	85.3917	21.3588
BiPo like PPO	2.86	2.38	2.85407	2.17607	2.85908	2.28739
BiPo like bisMSB	4.6	3.48	4.59046	3.49996	4.597	3.61944
BiPo like total	7.46	5.86	7.44453	5.67603	7.45608	5.89886
Atmos PPO	1.58	1.07	1.58744	0.873686	1.58857	0.987689
Atmos bisMSB	2.89	1.96	2.78852	1.53473	2.78952	1.63637
Atmos total	4.47	3.03	4.37596	2.40841	4.37809	3.12028
E Scale PPO	1	0.011	1	0.00996256	1	0.00998317
E Scale bisMSB	1	0.01	1	0.00866625	1	0.00867509
Birk's PPO	0.074	0.004	0.074	0.00326478	0.074	0.00326728
Birk's bisMSB	0.074	0.004	7.40E-02	0.00292532	7.40E-02	0.0029301
E Conv PPO	0	0.044	4.66E-08	0.0358454	6.21E-09	0.0358334
E Conv bisMSB	0	0.049	4.88E-08	0.039905	6.94E-09	0.0398902
E Scale PR PPO	1	0.03	1	0.0286016	1	0.0286201
E Scale PR bisMSB	1	0.03	1	0.0278202	1	0.0278179
