Deltam	7.50E-05	1.90E-06	7.50E-05	3.50E-06	7.50E-05	2.94E-06	7.50E-05	1.82E-06
Theta	0.307	0.012	0.305	0.094	0.307	0.012	0.307	0.012
Reac osc PPO	49.15238424	2.13110538	49.2931	2.02323	49.1713	2.01875	49.1713	2.01875
Reac osc bisMSB	90.58297842	3.93361974	90.8227	3.72781	90.6065	3.7199	90.6065	3.7199
Reac osc total	139.7353627	6.06472512	140.116	5.75104	139.778	5.73865	139.778	5.73865
Geo U PPO	10.44		10.0272	5.01367	10.0342	5.04661	10.0342	5.04661
Geo U bisMSB	18.9		18.1352	9.06773	18.1478	9.12727	18.1478	9.12727
Geo U total	29.34		28.1624	14.0814	28.182	14.1739	28.182	14.1739
Geo Th PPO	2.75		2.66231	1.43685	2.6635	1.44537	2.6635	1.44537
Geo Th bisMSB	5.01		4.82955	2.6065	4.83171	2.62198	4.83171	2.62198
Geo Th total	7.76		7.49186	4.04335	7.49521	4.06735	7.49521	4.06735
Geo Ratio PPO	3.7	1.3	3.76635	2.16619	3.7673	2.17777	3.7673	2.17777
Geo Ratio bisMSB	3.7	1.3	3.75505	2.15968	3.75598	2.17122	3.75598	2.17122
Geo Ratio total	3.7	1.3	3.75907	1.59119	3.76	1.59969	3.76	1.59969
AN CS PPO	0.92	0.28	0.959527	0.283618	0.96	0.283741	0.96	0.283741
AN CS bisMSB	1.56	0.47	1.65918	0.490422	1.66	0.490636	1.66	0.490636
AN CS total	2.48	0.75	2.61871	0.77404	2.62	0.774378	2.62	0.774378
AN OE PPO	3.43	3.43	3.597	1.41631	3.6	1.41839	3.6	1.41839
AN OE bisMSB	5.86	5.86	6.20482	2.44313	6.21	2.44672	6.21	2.44672
AN OE total	9.29	9.29	9.80182	3.85944	9.81	3.8651	9.81	3.8651
AN PR PPO	31.17	9.35	31.2316	6.52937	31.2565	6.54402	31.2565	6.54402
AN PR bisMSB	53.78	16.13	54.1102	11.3124	54.1539	11.3379	54.1539	11.3379
AN PR total	84.95	25.48	85.3418	17.8418	85.4104	17.8819	85.4104	17.8819
BiPo like PPO	2.86	2.38	2.85407	2.17607	2.86	2.18071	2.86	2.18071
BiPo like bisMSB	4.6	3.48	4.59046	3.49996	4.6	3.50743	4.6	3.50743
BiPo like total	7.46	5.86	7.44453	5.67603	7.46	5.68814	7.46	5.68814
Atmos PPO	1.58	1.07	1.58744	0.873686	1.58982	0.875525	1.58982	0.875525
Atmos bisMSB	2.89	1.96	2.78852	1.53473	2.79271	1.53796	2.79271	1.53796
Atmos total	4.47	3.03	4.37596	2.40841	4.38253	2.41349	4.38253	2.41349
E Scale PPO	1	0.011	1	0.00996256	1	0.0101022	1	0.0101022
E Scale bisMSB	1	0.01	1	0.00866625	1	0.00893979	1	0.00893979
Birk's PPO	0.074	0.004	0.074	0.00326478	0.074	0.00341331	0.074	0.00341331
Birk's bisMSB	0.074	0.004	7.40E-02	0.00292532	7.40E-02	0.003057	7.40E-02	0.003057
E Conv PPO	0	0.044	4.66E-08	0.0358454	5.73E-07	0.0358329	5.73E-07	0.0358329
E Conv bisMSB	0	0.049	4.88E-08	0.039905	5.71E-07	0.0398896	5.71E-07	0.0398896
E Scale PR PPO	1	0.03	1	0.0286016	1	0.0287453	1	0.0287453
E Scale PR bisMSB	1	0.03	1	0.0278202	1	0.0280406	1	0.0280406
