Deltam	7.50E-05	1.90E-06	7.93E-05	2.38E-06	7.91E-05	2.94E-06	7.61E-05	1.68E-06	7.50E-05	1.90E-06	7.89E-05	3.50E-06	7.74E-05	3.50E-06	7.56E-05	1.96E-06
Theta	0.307	0.012	0.505	0.142	0.311	0.014	0.309	0.014	0.307	0.012	0.501	0.132	0.311	0.014	0.311	0.014
Reac osc PPO	49.15238424	2.13110538	42.1102	1.74506	47.7102	1.96561	47.8749	1.97124	46.9069	1.931382782	39.941	1.65111	45.2585	1.86018	45.3727	1.86417
Reac osc bisMSB	90.58297842	3.93361974	77.5352	3.21308	87.8315	3.61856	88.2287	3.63281	86.871	3.576906806	73.6781	3.04576	83.4608	3.43035	83.6946	3.43866
Reac osc total	139.7353627	6.06472512	119.645	4.95814	135.542	5.58417	136.104	5.60405	133.7779	5.508273383	113.619	4.69688	128.719	5.29053	129.067	5.30283
Geo U PPO	10.44		16.475	9.73913	16.0663	8.22676	16.0893	8.23923	9.36653		10.5108	3.76063	9.87549	3.0439	9.78256	3.0065
Geo U bisMSB	18.9		29.798	17.615	29.0617	14.8811	29.1019	14.9029	16.9041		18.8683	6.75083	17.709	5.45841	17.5477	5.39299
Geo U total	29.34		46.273	27.3541	45.128	23.1078	45.1912	23.1421	26.27063		29.3791	10.5115	27.5845	8.50231	27.3303	8.39949
Geo Th PPO	2.75		4.855	4.10926	4.86824	3.73866	4.88606	3.75893	2.43819		3.03224	1.71753	2.927	1.47317	2.91398	1.47103
Geo Th bisMSB	5.01		8.80816	7.4552	8.8344	6.78455	8.86563	6.82048	4.42196		5.46804	3.09722	5.27233	2.65358	5.25032	2.65046
Geo Th total	7.76		13.6632	11.5645	13.7026	10.5232	13.7517	10.5794	6.86015		8.50028	4.81475	8.19933	4.12676	8.1643	4.12149
Geo Ratio PPO	3.7	1.3	3.39341	3.17034	3.30023	2.78389	3.2929	2.78297	3.7	1.3	3.46635	2.19503	3.37393	1.88673	3.35711	1.88128
Geo Ratio bisMSB	3.7	1.3	3.383	3.16061	3.28961	2.77493	3.28255	2.77422	3.7	1.3	3.45065	2.18509	3.35886	1.8783	3.34222	1.87293
Geo Ratio total	3.7	1.3	3.3867	2.32885	3.29338	2.04484	3.28623	2.04424	3.7	1.3	3.45625	1.60966	3.36424	1.38345	3.34753	1.37953
