Deltam	7.50E-05	1.90E-06	7.93E-05	2.38E-06	7.96E-05	2.38E-06
Theta	0.307	0.012	0.505	0.142	0.491	0.14
Reac osc PPO	49.15238424	2.13110538	42.1102	1.74506	42.2193	1.80161
Reac osc bisMSB	90.58297842	3.93361974	77.5352	3.21308	77.5256	3.2433
Reac osc total	139.7353627	6.06472512	119.645	4.95814	119.745	5.04681
Geo U PPO	10.44		16.475	9.73913	17.3133	5.14938
Geo U bisMSB	18.9		29.798	17.615	23.4784	9.5065
Geo U total	29.34		46.273	27.3541	40.7917	31.8427
Geo Th PPO	2.75		4.855	4.10926	4.57181	0.00206953
Geo Th bisMSB	5.01		8.80816	7.4552	6.89132	3.39977
Geo Th total	7.76		13.6632	11.5645	11.4631	7.3553
Geo Ratio PPO	3.7	1.3	3.39341	3.17034	3.78697	1.12635
Geo Ratio bisMSB	3.7	1.3	3.383	3.16061	3.40695	1.8215
Geo Ratio total	3.7	1.3	3.3867	2.32885	3.55851	1.42212
AN CS PPO	0.92	0.28	0.980004	0.288317	0.925394	0.289008
AN CS bisMSB	1.56	0.47	1.69459	0.498548	1.76067	0.491212
AN CS total	2.48	0.75	2.67459	0.786866	2.68606	0.780468
AN OE PPO	3.43	3.43	1.89829	0.670098	2.1611	1.9677
AN OE bisMSB	5.86	5.86	3.27455	1.15592	3.63969	2.74492
AN OE total	9.29	9.29	5.17284	1.82602	5.80079	4.69253
AN PR PPO	31.17	9.35	18.2436	3.88324	29.9573	7.06468
AN PR bisMSB	53.78	16.13	31.6352	6.73371	29.0424	11.9651
AN PR total	84.95	25.48	49.8788	10.617	58.9997	20.0333
BiPo like PPO	2.86	2.38	1.94125	1.46477	2.81763	2.264
BiPo like bisMSB	4.6	3.48	3.1223	2.35594	2.55658	3.57117
BiPo like total	7.46	5.86	5.06355	3.82071	5.37421	5.85233
Atmos PPO	1.58	1.07	1.86253	1.02502	2.13329	0.895623
Atmos bisMSB	2.89	1.96	3.26275	1.79562	2.0799	1.80438
Atmos total	4.47	3.03	5.12528	2.82064	4.21319	3.24534
E Scale PPO	1	0.011	0.9998	0.0125079	1	0.0101691
E Scale bisMSB	1	0.01	1.004	0.00876161	1.003	0.00873647
Birk's PPO	0.074	0.004	0.07276	0.00428515	0.07272	0.000410728
Birk's bisMSB	0.074	0.004	0.07299	0.00312502	0.07312	0.00305131
E Conv PPO	0	0.044	6.77E-06	0.03577	1.15E-06	0.0357973
E Conv bisMSB	0	0.049	0.0001422	0.0399546	0.0005225	0.0398781
E Scale PR PPO	1	0.03	1.003	0.0296644	1.003	0.0292523
E Scale PR bisMSB	1	0.03	1.002	0.0294041	1	0.00960139
