Deltam	7.50E-05	1.90E-06	7.92E-05	2.52E-06	7.91E-05	2.94E-06	7.61E-05	1.68E-06
Theta	0.307	0.012	0.499	0.148	0.311	0.014	0.309	0.014
Reac osc PPO	49.15238424	2.13110538	42.1016	1.74594	47.6881	1.97117	47.8535	1.97089
Reac osc bisMSB	90.58297842	3.93361974	77.5265	3.21499	87.7983	3.62912	88.197	3.63248
Reac osc total	139.7353627	6.06472512	119.628	4.96093	135.486	5.60029	136.05	5.60338
Geo U PPO	10.44		16.869	8.66947	16.4161	8.29813	16.3883	8.13859
Geo U bisMSB	18.9		30.5386	15.6947	29.7132	15.0196	29.6629	14.7309
Geo U total	29.34		47.4076	24.3641	46.1293	23.3178	46.0512	22.8695
Geo Th PPO	2.75		4.96208	3.63186	4.97683	3.7736	4.97804	3.70764
Geo Th bisMSB	5.01		9.02406	6.60491	9.04671	6.85952	9.04883	6.73956
Geo Th total	7.76		13.9861	10.2368	14.0235	10.6331	14.0269	10.4472
Geo Ratio PPO	3.7	1.3	3.39958	2.73731	3.29851	2.7396	3.29212	2.69919
Geo Ratio bisMSB	3.7	1.3	3.38413	2.72487	3.28442	2.7279	3.27809	2.68769
Geo Ratio total	3.7	1.3	3.38961	2.00931	3.28942	2.01128	3.28307	1.98162
AN CS PPO	0.92	0.28	0.977848	0.288044	0.948422	0.280594	0.938236	0.277115
AN CS bisMSB	1.56	0.47	1.69086	0.498075	1.63998	0.485195	1.62237	0.479178
AN CS total	2.48	0.75	2.66871	0.786119	2.5884	0.765789	2.56061	0.756293
AN OE PPO	3.43	3.43	2.06693	0.76945	1.87861	0.680006	1.79172	0.639976
AN OE bisMSB	5.86	5.86	3.56546	1.3273	3.2406	1.17301	3.09072	1.10396
AN OE total	9.29	9.29	5.63239	2.09675	5.11921	1.85302	4.88244	1.74393
AN PR PPO	31.17	9.35	17.5895	3.89523	16.585	3.62112	16.7352	3.58187
AN PR bisMSB	53.78	16.13	30.54	6.76314	28.7876	6.2854	29.0521	6.21808
AN PR total	84.95	25.48	48.1295	10.6584	45.3726	9.90652	45.7873	9.79995
BiPo like PPO	2.86	2.38	1.94921	1.47523	1.57417	1.19792	1.35959	1.00765
BiPo like bisMSB	4.6	3.48	3.13509	2.37275	2.53188	1.92673	2.18675	1.62069
BiPo like total	7.46	5.86	5.0843	3.84799	4.10605	3.12465	3.54634	2.62835
Atmos PPO	1.58	1.07	1.86553	1.01756	1.76966	0.952787	1.74506	0.928548
Atmos bisMSB	2.89	1.96	3.24969	1.77256	3.07976	1.65815	3.03416	1.61448
Atmos total	4.47	3.03	5.11522	2.79013	4.84942	2.61093	4.77922	2.54303
E Scale PPO	1	0.011	0.9993	0.0103341	0.9986	0.0104232	0.9993	0.0102964
E Scale bisMSB	1	0.01	1.004	0.0089147	1.003	0.00906284	1.004	0.00903156
Birk's PPO	0.074	0.004	0.07374	0.00367522	0.07381	0.00367552	0.07362	0.00360123
Birk's bOBOBisMSB	0.074	0.004	0.07301	0.00321875	0.07296	0.00306105	0.07259	0.00328976
E Conv PPO	0	0.044	0.05052	0.0876923	0.04489	0.105771	0.04606	0.0207184
E Conv bisMSB	0	0.049	0.03262	0.0659318	0.03001	0.000463377	0.03004	0.000457147
E Scale PR PPO	1	0.03	1.003	0.0296249	1	0.0297355	1	0.0290662
E Scale PR bisMSB	1	0.03	1.002	0.0294271	1	0.0299185	1	0.0288884
